cPcbbbiht_12 F0 1 G 2 E 1 [4] [2,0,0] Z ['m004','4_1','K2_1','K4a1','otet02_00001']
dLQacccjsnk_200 F0 1 G 1 N 1 [2] [2,0,1] Z ['m016','K3_1','K12n242']
fLLQcbcdeeelonlel_02211 F0 1 G 2 N 1 [2] [4,1,0] Z ['m389','10_139','K5_22','K10n27']
gLLMQaedfdffjxaxjkn_200211 F0 1 G 2 N 1 [2] [2,2,2] Z ['s580','10_145','K6_26','K10n14']
hLLzQkcdefggfghspadgsg_1222011 F0 1 G 2 N 1 [2] [4,0,3] Z ['v2642','K7_99','K12n725']
hLvMQkbefgfeggxddaddvv_1022221 F0 1 G 1 N 1 [2] [2,0,5] Z ['m223','K5_11','K14n6022']
hLvMQkbfeefgggdauaaprf_2101022 F0 1 G 1 N 1 [2] [4,0,3] Z ['v2166','10_161','K7_80','K10n31']
iLLMMPcaedfdghhhjxaxjxxnk_20021100 F0 1 G 2 N 1 [2] [2,4,2] Z ['t03608','K8_70']
ivLLQQccefghhfghbvaautdsg_12020011 F0 1 G 1 N 1 [2] [6,1,1] Z ['t12756','K8_299','K13n604']
jLLvQMQcdfhfggiiihshhnbkqqa_100012110 F0 1 G 1 N 1 [2] [4,4,1] Z ['t12198','K8_275']
jvLLAQQcggfhgihiijxaitxagvc_100001211 F0 1 G 1 N 1 [2] [6,2,1] Z ['o9_43609','10_152','K10n36']
jvLLQMQegffghhiiiguuuuaaggb_210010022 F0 1 G 2 N 1 [2] [4,1,4] Z ['t12247','K8_279','K12n574']
jvLPPAQegffghhiiiwapaauawcv_120200111 F0 1 G 1 N 1 [2] [4,5,0] Z ['t07979','K8_154','K12n591']
kLLPwAPkccdfeghjijjhggaaaaaaof_2010221122 F0 1 G 2 E 1 [12] [6,2,2] Z ['8_12','K8a5']
kLLvPAQkcdehgihijjjhshgbvnvaah_1222011112 F0 1 G 1 N 1 [2] [6,1,3] Z ['10_154','K10n7']
lLLvPMMQccdhigjiikjkkhshvbajvqqaf_10001211200 F0 1 G 1 N 1 [2] [6,3,2] Z []
lLLvQwMQccdfehgikjkjkhsahgbtaibjb_12220111222 F1 1 G 1 N 1 [2] [6,1,4] Z ['K12n321']
lLvLLPQQcbfhgjkihjkjkxudckucvriru_10222211101 F0 1 G 1 N 1 [2] [8,1,2] Z []
lLvvQAPQccgfehijkjkjkhaaaggaapppp_20102220000 F0 1 G 1 N 1 [2] [2,0,9] Z ['s384','K6_19']
lLvvwQQQccgikjjkiihjkhagssssggggg_12220011100 F0 1 G 2 N 1 [2] [4,4,3] Z ['K12n426']
lvLALAPQccdfgihjkkjjkffaqaaaaiiii_02222001111 F0 1 G 1 N 1 [2] [4,3,4] Z ['K12n850']
lvLALAPQccdfhgikjjkkjffaluaaeiqqq_20000222200 F0 1 G 1 N 1 [2] [4,0,7] Z ['o9_29141','K14n16364']
lvLALwQQccdfhiijikjkkffalajjjebme_02222001111 F1 1 G 1 N 1 [2] [6,3,2] Z ['K12n830']
lvLLAzQQcdgfhgjkijkkjjaamajjcjjcc_02211101022 F0 1 G 1 N 1 [2] [8,2,1] Z ['K12n328']
lvLLLPQQcdfifghkjjkkjslxllgvfcwwf_02211100002 F1 1 G 2 N 1 [2] [8,2,1] Z ['K12n750']
lvLLvQQQcefihkkijhijkghqtqnwwjgow_12222110001 F0 1 G 1 N 1 [2] [6,2,3] Z []
lvvLAQAQcfhiggjijkjkkttmtalmrufut_20110211021 F0 1 G 1 N 1 [2] [6,5,0] Z ['K12n472']
mLLLAwPAQcegfggkiijlllqqqaqoadlfxxa_122201111221 F0 1 G 1 N 1 [2] [4,0,8] Z ['t12199','K8_276']
mLvLAwPQQcfghhikklkjllhialgoteiqqvc_201022202000 F0 1 G 6 E 1 [12] [6,0,6] Z ['9_48','K9n6']
mLvwQLwQQbeghfjiklklklhehhphhaarrrr_120000221100 F0 1 G 2 N 1 [2] [6,0,6] Z []
mvLLLLQQQdfiihkljkjljlslxxgfsffcvfs_022111000000 F1 1 G 1 N 1 [2] [8,2,2] Z ['K12n801']
mvLLLQLQQeeihjhklhlkklgoaaigaagpppp_210010021111 F0 1 G 1 N 1 [2] [6,1,5] Z []
mvLLwzQQQdgfgklhijkllkjaaajjsoovvcc_022111010022 F0 1 G 2 N 1 [2] [8,2,2] Z ['11_440','K11n183']
mvLvLPQQQeihkklihijllkgatiggggggkkk_122221101000 F0 1 G 1 N 1 [2] [8,0,4] Z ['K13n1176']
mvLvLQPQQcffkjjihkllklwaammvwwcalri_102021110222 F0 1 G 1 N 1 [2] [6,1,5] Z ['K14n14356']
nLLLAvzQQkcdgfellkljmmkmhshahhgobshhjh_1222011222221 F1 1 G 1 N 1 [2] [6,1,6] Z []
nLLLLMLPQkceggghlljkmlmmhhhagvhhiaggwr_0222100000121 F0 1 G 1 N 1 [2] [8,5,0] Z []
nLLLLMvQQkceggghkmjkklmmhhhagvqaiawgsj_0222100000122 F0 1 G 1 N 1 [2] [6,6,1] Z []
nLLLMvPQMkcdgfhiijilkmmmhshaspiqqffxxa_1222011011221 F1 1 G 2 N 1 [2] [4,0,9] Z ['K12n293']
nLLLwwPPQkbcegfjkjjmlmlmhgtaghphgbfbjb_1200011122222 F1 1 G 1 E 1 [12] [8,3,2] Z ['K13n2296']
nLLvLLQAQkbefigilljkmkmmxxxrgrxefxxtvv_0111022020111 F1 1 G 1 N 1 [2] [6,3,4] Z []
nLLvLPzQQkbegkgjkimjmllmxxdxvruwhrthco_1022111110022 F0 1 G 1 N 1 [2] [8,3,2] Z []
nLLvPMLPQkcdhigjijmkllmmhshvbavqqhffoo_1000121120000 F0 1 G 1 N 1 [2] [6,3,4] Z []
nLLvwAzQQkcdfgikmiljklmmhsabjtabihfjbb_1222011102222 F1 1 G 1 N 1 [2] [6,3,4] Z []
nLLvzvQQQkcdejljhklkmlmmhshpaanahphagb_1222011112202 F1 1 G 2 N 1 [2] [8,2,3] Z []
nLvvLPMQQkbhkgljlmljjkmmhdgbmbaiukkfqm_1200001221121 F0 1 G 1 N 1 [2] [10,3,0] Z []
nvLALPPLQkcdfhigkjmlmlmlffalafanalllor_2000022221010 F0 1 G 1 N 1 [2] [4,0,9] Z []
nvLLALwQQkefgeijlimklmlmcaecwwawecxppp_0111122222010 F0 1 G 1 N 1 [2] [6,5,2] Z ['K12n647']
